Название товара;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика оборота, %;Заказано, штуки;Минимальная цена, ₽;Средняя цена, ₽;Упущенные продажи, ₽;Доступность, %;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Сроки доставки, дни;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Просмотры в поиске и каталоге;Просмотры карточки;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
Пуховик velive;https://www.ozon.ru/product/1691570303;velive;Одежда;Пуховик;Да;339556;Нет данных;40;7501.4;8489;0;100;12143;1;FBO;5;35;23.2;32.3;40645;2141;0;9.62;1.6;47.3;2024-09-12
Брюки;https://www.ozon.ru/product/1645227778;без бренда;Одежда;Брюки;Да;339542;129;171;1;1986;0;100;12058;6;FBO;3;4.2;23.9;34;48070;3324;0;10.46;11.5;66.6;2024-08-01
Шуба искусственная Ostrich Новая коллекция;https://www.ozon.ru/product/1660448419;Ostrich;Одежда;Шуба искусственная;Да;339534;1909;55;4767;6173;92602;79;15434;3;FBO;3;13.5;22.1;31;44928;4011;0.02;5.8;0;48;2024-08-16
Куртка Yarmarka palto;https://www.ozon.ru/product/1317117378;Yarmarka palto;Одежда;Куртка;Да;339520;-15;82;3725;4140;157067;68;17452;4;FBO;5;21.8;25.1;34.7;121265;9516;0.01;4.05;17.4;49.3;2023-11-30
Комплект верхней одежды Finntrail LightSuit;https://www.ozon.ru/product/1444585516;Finntrail;Одежда;Комплект верхней одежды;Да;339518;-20;22;11336.3;15433;0;100;11862;1;FBO,FBS;5;6;16.8;25;8564;1147;0.02;6.27;0;57.1;2024-03-01
Комбинезон утепленный BUNGLY Демисезон;https://www.ozon.ru/product/1634321375;BUNGLY;Одежда;Комбинезон утепленный;Да;339488;622;64;4138;5305;73815;82;14763;3;FBO;3;12.6;22.3;31.3;5791;1221;0.05;10.07;0;66.1;2024-07-21
Брюки KANTRO;https://www.ozon.ru/product/815637343;KANTRO;Одежда;Брюки;Да;339488;-3;127;2138;2673;0;100;12140;5;FBO;4;2.3;22.3;31.7;5576;2472;0.05;12.98;0.1;36.9;2022-12-09
Пальто MARCO BAY;https://www.ozon.ru/product/1628693281;MARCO BAY;Одежда;Пальто;Да;339484;18;29;11050;11706;11731;96;11731;1;FBO;7;16.6;19;27.5;5110;620;0;15.32;0;51.7;2024-07-15
Куртка Outventure;https://www.ozon.ru/product/1630250610;Outventure;Одежда;Куртка;Да;339467;114;84;2854;4041;92677;79;15446;4;FBO;4;14.4;23.8;33.2;64301;3862;0.02;7.19;0.2;48.7;2024-07-17
Костюм спортивный 4HUMANS Осень-зима;https://www.ozon.ru/product/1645540991;4HUMANS;Одежда;Костюм спортивный;Да;339466;99;100;2521.5;3395;0;100;11888;4;FBO;4;16.1;24.9;34.6;26624;4816;0.02;7.1;0;40.2;2024-08-01
Пальто Zarina;https://www.ozon.ru/product/1191077473;Zarina;Одежда;Пальто;Да;339454;421;106;2407.5;3202;0;100;12181;4;FBO;4;23.4;26.3;36.3;94550;5712;0.02;5.25;0;43.4;2023-09-14
Куртка Esenlik;https://www.ozon.ru/product/1663112318;Esenlik;Одежда;Куртка;Да;339454;970;75;4118;4526;135824;71;16978;4;FBO;4;26.3;25.4;35;39341;2836;0;7.89;0;55.5;2024-08-19
Комбинезон утепленный Lassie;https://www.ozon.ru/product/1690241848;Lassie;Одежда;Комбинезон утепленный;Да;339437;Нет данных;86;2892;3947;73941;82;14788;4;FBO;3;23.9;25.8;35.6;21920;2846;0.02;8.11;0;44.7;2024-09-11
Пальто BABU;https://www.ozon.ru/product/1648946559;BABU;Одежда;Пальто;Да;339373;172;60;5218;5656;135908;71;16989;3;FBO;4;13.5;22.4;31.3;34775;2479;0.02;8.51;0.4;22.9;2024-08-05
Куртка NOELE BOUTIQUE Новая коллекция;https://www.ozon.ru/product/1688941560;NOELE BOUTIQUE;Одежда;Куртка;Да;339363;Нет данных;17;17884;19963;0;100;10777;1;FBO;3;44.5;18;26.5;23856;1732;0.02;5.48;1.2;56.2;2024-09-10
Куртка Gloria Jeans;https://www.ozon.ru/product/1667307378;Gloria Jeans;Одежда;Куртка;Да;339360;103;59;5243;5752;0;100;11921;2;FBO;2;8.5;21.7;30.4;44735;1305;0.01;12.49;0;29.8;2024-08-23
Комбинезон утепленный BUNGLY Демисезон;https://www.ozon.ru/product/1634321376;BUNGLY;Одежда;Комбинезон утепленный;Да;339359;130;56;4835;6060;188700;64;18870;3;FBO;3;11.6;22;30.8;9608;1336;0.05;12.05;0;50;2024-07-21
Пальто ТВОЕ;https://www.ozon.ru/product/1233464426;ТВОЕ;Одежда;Пальто;Да;339347;811;129;1872;2631;73413;82;14683;6;FBO;5;22.5;28.4;39;118826;4007;0.01;8.68;0;47.9;2023-10-10
Джинсы Весь мир моды;https://www.ozon.ru/product/1428135694;без бренда;Одежда;Джинсы;Да;339324;-7;242;821.3;1402;72681;82;14536;10;FBO;4;4.6;25.7;36.7;13748;2211;0.08;21.84;0;57.7;2024-02-20
Куртка Gloria Jeans Ready! Steady! Go!;https://www.ozon.ru/product/1659982424;Gloria Jeans;Одежда;Куртка;Да;339321;402;69;3715;4918;0;100;11469;2;FBO;3;5.9;21.5;30.3;35700;1708;0.04;13.99;0;39.7;2024-08-16
Гольфы компрессионные ENERGYBOOST черный, 2 класс компрессии, 1 шт;https://www.ozon.ru/product/1476381512;ENERGYBOOST;Одежда;Гольфы компрессионные;Нет;339318;-18;515;471.8;659;55591;86;13898;21;FBO;3;0.6;30.2;36.3;75690;6549;0.2;14.67;19.7;92.7;2024-03-16
Брюки утепленные LAINA;https://www.ozon.ru/product/1666605187;LAINA;Одежда;Брюки утепленные;Да;339278;11358;165;1330;2056;12595;96;12595;6;FBO;4;10.4;25.7;36;62119;9271;0.03;6.51;13.2;50.3;2024-08-22
Костюм карнавальный НОВОГОДУШКА Дед Мороз;https://www.ozon.ru/product/1306408442;НОВОГОДУШКА;Одежда;Костюм карнавальный;Да;339277;59;170;1406.3;1996;0;100;11919;6;FBO;5;15.3;28.9;40;129064;3831;0.08;13.33;0;86.4;2023-11-23
Куртка Miloslavskaya Оверсайз;https://www.ozon.ru/product/1711849207;Miloslavskaya;Одежда;Куртка;Да;339262;Нет данных;56;421;6058;716431;32;37707;6;FBO;3;14.3;22.5;31.4;5108;1818;0.01;10.5;0.1;67.3;2024-10-02
Джемпер Lady's Dreams;https://www.ozon.ru/product/1585534073;Lady's Dreams;Одежда;Джемпер;Да;339250;-12;123;2344;2758;143525;68;15947;6;FBO;5;2.6;22.1;31.5;46551;6955;0.01;7.5;0;58.8;2024-05-26
Пуховик ōnne;https://www.ozon.ru/product/1684160653;ōnne;Одежда;Пуховик;Да;339249;Нет данных;24;11685;14135;73750;82;14750;1;FBO;8;32;19.1;27.7;13377;1730;0.07;8.32;0;59;2024-09-06
Костюм спортивный Сити Текс;https://www.ozon.ru/product/832353906;Сити Текс;Одежда;Костюм спортивный;Да;339233;-52;124;2075.5;2736;123653;71;15457;6;FBO;6;9.4;24.1;33.9;29570;2605;0.03;12.78;0;40;2023-01-07
Брюки miss Caldos;https://www.ozon.ru/product/1635133416;miss Caldos;Одежда;Брюки;Да;339231;48;239;1116;1419;25730;93;12865;9;FBO;5;1.5;24;34.6;140822;17490;0.02;6.66;25.4;53.9;2024-07-22
Куртка Modis;https://www.ozon.ru/product/1237434287;Modis;Одежда;Куртка;Да;339231;359;138;1955.1;2458;0;100;12051;5;FBO;4;20.8;29.6;40.7;170619;10465;0.01;3.97;0;55.4;2023-10-12
Костюм спортивный Сити Текс;https://www.ozon.ru/product/1630748733;Сити Текс;Одежда;Костюм спортивный;Да;339228;101;139;2085.3;2440;88598;79;14766;6;FBO;5;26.5;30.3;41.5;42085;2570;0.02;14.35;0;54.1;2024-07-17
Пальто Concept Club;https://www.ozon.ru/product/1667816303;Concept Club;Одежда;Пальто;Да;339208;136;53;5583;6400;0;100;11302;2;FBO;5;23.5;23.2;32.3;14872;2539;0.04;7.64;0;29.4;2024-08-23
Комбинезон утепленный CROCKID Для девочек;https://www.ozon.ru/product/1619846959;CROCKID;Одежда;Комбинезон утепленный;Да;339175;Нет данных;49;6561;6922;1243640;21;56529;8;FBS;6;9.6;21.5;30.2;5427;1994;0.07;9.52;0;70.8;2024-07-03
Платье BESTPALLA;https://www.ozon.ru/product/1702237820;BESTPALLA;Одежда;Платье;Да;339168;Нет данных;104;2941;3261;40700;89;13567;4;FBO;3;5.3;22.5;31.7;140597;7660;0.01;4.94;8;40.6;2024-09-23
Платье MISSC Офисный стиль;https://www.ozon.ru/product/1412690129;без бренда;Одежда;Платье;Да;339158;52;156;1550.3;2174;0;100;11992;6;FBO;4;3;22.8;32.6;161032;8986;0.01;6.36;0;45.7;2024-02-01
Куртка BRUCLIN;https://www.ozon.ru/product/1680280472;BRUCLIN;Одежда;Куртка;Да;339158;924;34;9203;9975;0;100;12113;1;FBO;5;13;19.9;28.4;153375;5711;0;4.14;42.7;51.5;2024-09-03
Дубленка HERO;https://www.ozon.ru/product/722655151;HERO;Одежда;Дубленка;Да;339153;1100;64;4034.1;5299;25730;93;12865;2;FBS;6;6;21.4;30.2;356559;23004;0.01;2.69;152.4;40.9;2022-09-22
Пуховик ōnne;https://www.ozon.ru/product/1683335717;ōnne;Одежда;Пуховик;Да;339152;Нет данных;25;10966;13566;524144;39;30832;2;FBO;5;16.4;18.6;27;6022;1054;0.03;10.15;0;45.8;2024-09-05
Куртка Obba;https://www.ozon.ru/product/1612273694;Obba;Одежда;Куртка;Да;339147;151;60;4577;5652;0;100;12113;2;FBO;4;42.3;26.6;36.4;57501;3534;0.02;6.25;0;36.8;2024-06-24
Костюм спортивный Karamelina Осенняя коллекция;https://www.ozon.ru/product/1469493402;Karamelina;Одежда;Костюм спортивный;Да;339107;-44;98;2897.9;3460;0;100;11855;3;FBO,FBS;4;9.8;23.1;32.5;38216;3947;0.05;8.84;0.7;21.2;2024-03-13
Джинсы SAJ Зимние;https://www.ozon.ru/product/1225569263;SAJ;Одежда;Джинсы;Да;339107;413;128;2385.9;2649;25880;93;12940;5;FBO;4;4.9;22.9;32.5;12716;4408;0.04;6.69;0;60;2023-10-06
Пуховик Zolla;https://www.ozon.ru/product/1691487421;Zolla;Одежда;Пуховик;Да;339105;6545;75;3857.7;4521;0;100;11931;3;FBO;4;26.4;25.3;35;107568;5709;0.01;5.37;0;48.6;2024-09-12
Кардиган By ARDALIN;https://www.ozon.ru/product/1632277350;By ARDALIN;Одежда;Кардиган;Да;339096;2;73;3966;4645;25439;93;12720;3;FBO;4;9.8;22.3;31.3;112174;6804;0.02;7.68;7.3;56.4;2024-07-18
Куртка Leokid;https://www.ozon.ru/product/1643822298;Leokid;Одежда;Куртка;Да;339088;143;42;7487;8074;90101;79;15017;2;FBO;5;9;19.9;28.4;10348;954;0.03;9.53;0;50;2024-07-31
Пижама Lolapola;https://www.ozon.ru/product/1554849969;Lolapola;Одежда;Пижама;Да;339067;22;246;1020;1378;0;100;11999;9;FBO;3;1.2;23.9;34.4;185985;17202;0.01;4.65;8.7;62.9;2024-04-22
Комбинезон утепленный Lassie;https://www.ozon.ru/product/1083749591;Lassie;Одежда;Комбинезон утепленный;Да;339042;103;72;4414;4709;12038;96;12038;3;FBO;4;25.8;26.5;36.5;29053;2731;0.04;9;0;Нет данных;Нет данных
Комплект одежды Efbey kids;https://www.ozon.ru/product/1342909205;Efbey kids;Одежда;Комплект одежды;Да;339036;150;246;902.3;1378;38899;89;12966;9;FBO,FBS;4;2.8;24.4;35;134995;6187;0.02;9.64;12.8;72.9;2023-12-15
Куртка U_soul_clo;https://www.ozon.ru/product/1668886810;U_soul_clo;Одежда;Куртка;Да;339024;628;66;4255;5137;0;100;12110;2;FBO;3;24.1;24.4;33.8;25918;2304;0.04;11.02;0;37.5;2024-08-24
Джинсы Fart Favorita;https://www.ozon.ru/product/1701680669;Fart Favorita;Одежда;Джинсы;Да;339010;Нет данных;149;1642.5;2275;136443;71;17055;7;FBO;3;4.2;23.3;33.1;119608;7024;0.02;7.83;23.5;57.2;2024-09-23
Куртка Zarina;https://www.ozon.ru/product/1691619677;Zarina;Одежда;Куртка;Да;339006;219;63;4902;5381;39197;89;13066;2;FBO;3;8.4;21.7;30.4;42575;3664;0.01;6.33;0;57.6;2024-09-12
Куртка Befree;https://www.ozon.ru/product/1641717550;Befree;Одежда;Куртка;Да;338994;149;119;2187;2849;0;100;11923;4;FBO;4;18.6;25.8;35.7;105336;5099;0.01;7.25;0;45.1;2024-07-29
Пальто BLACKLOOK Коричневый;https://www.ozon.ru/product/1415422369;BLACKLOOK;Одежда;Пальто;Да;338991;259;71;3842;4775;0;100;11610;2;FBO;4;13.1;22.9;32.1;26282;2411;0.01;9.2;0;29.8;2024-02-04
Пуховик TOPTOP;https://www.ozon.ru/product/1679828372;TOPTOP;Одежда;Пуховик;Да;338984;271;25;12787;13559;0;100;12107;1;FBO,FBS;8;1;17.6;25.8;7582;846;0.05;8.15;0;52.1;2024-09-03
Лонгслив Annemore;https://www.ozon.ru/product/1090439387;Annemore;Одежда;Лонгслив;Да;338966;1;201;545.6;1686;0;100;11653;7;FBO;4;2.3;23.5;33.7;17990;2230;0.12;19.1;0;51.8;2023-07-21
Костюм спортивный Happyfox Для мужчин;https://www.ozon.ru/product/1661420120;Happyfox;Одежда;Костюм спортивный;Да;338963;51;65;4756;5215;0;100;12106;2;FBO;4;25.2;24.5;33.9;16428;2038;0;10.79;0;60.9;2024-08-17
Брюки KANTRO;https://www.ozon.ru/product/1641903024;KANTRO;Одежда;Брюки;Да;338948;25;126;2031;2690;0;100;11467;4;FBO;3;3.2;22.6;32;16290;2825;0.01;12.28;0.9;45.1;2024-07-29
Парка Milliant;https://www.ozon.ru/product/1070180784;Milliant;Одежда;Парка;Да;338940;301;16;19071;21184;126220;71;15777;1;FBS;13;1.4;16.3;24.5;8189;2218;0.02;4.23;0;43.7;2023-07-09
Платье Visconte;https://www.ozon.ru/product/1655381603;Visconte;Одежда;Платье;Да;338915;252;200;1167.6;1695;0;100;11928;7;FBO;4;3;23.6;33.7;138354;10013;0.05;7.72;8.7;51.9;2024-08-12
Дубленка;https://www.ozon.ru/product/830714909;без бренда;Одежда;Дубленка;Да;338913;646;15;19406;22594;40670;89;13557;1;FBS;5;18;16.8;25.1;14374;1312;0.01;4.26;0;66.6;2023-01-03
Брюки BEST TRICOTAGE;https://www.ozon.ru/product/643321401;BEST TRICOTAGE;Одежда;Брюки;Да;338896;1953;210;1221;1614;0;100;12018;7;FBO;3;4.3;25;35.6;47343;2590;0.02;14.71;0;74.7;2022-07-14
Куртка Katerina Bleska&Tamara Savin;https://www.ozon.ru/product/1625969190;Katerina Bleska&Tamara Savin;Одежда;Куртка;Да;338863;Нет данных;92;3276;3683;26081;93;13041;4;FBO;4;26;26.8;36.9;43398;3311;0.01;10.05;0;50;2024-07-11
Костюм классический AnnaArt line Boutique. Итальянская мода (журнал);https://www.ozon.ru/product/1533245285;AnnaArt line;Одежда;Костюм классический;Да;338861;16;111;2924;3053;0;100;11773;4;FBO;3;2.5;21.8;31;50822;6414;0;8.34;0;36.1;2024-04-07
Пальто TheCaSH;https://www.ozon.ru/product/1666899908;TheCaSH;Одежда;Пальто;Да;338856;440;36;8129;9413;341808;50;24415;3;FBO;5;15;20.1;28.7;8725;385;0.03;19.48;0.1;58.3;2024-08-22
Куртка Befree;https://www.ozon.ru/product/1451360542;Befree;Одежда;Куртка;Да;338853;162;93;2661.8;3644;0;100;11730;3;FBO;3;19.7;24.7;34.3;109668;3475;0;5.78;0.2;30.5;2024-03-05
Дубленка искусственная ТВОЕ;https://www.ozon.ru/product/1666409797;ТВОЕ;Одежда;Дубленка искусственная;Да;338814;168;63;4216.3;5378;0;100;12144;2;FBO;3;25.2;24.3;33.7;46967;3954;0.04;6.01;0;38.9;2024-08-22
Куртка SELA;https://www.ozon.ru/product/1704851157;SELA;Одежда;Куртка;Да;338812;Нет данных;31;10318;10929;254109;57;21176;2;FBO;9;13.2;18.7;27.2;16597;1243;0.05;10.61;0;56.6;2024-09-25
Брюки утепленные CEVAT'S;https://www.ozon.ru/product/309061541;CEVAT'S;Одежда;Брюки утепленные;Да;338806;539;262;714;1293;92288;79;15381;12;FBO;5;2;24;34.6;86610;12024;0.01;6.58;0.3;58.9;2021-08-25
Комбинезон-трансформер ArctiLine;https://www.ozon.ru/product/1438448328;ArctiLine;Одежда;Комбинезон-трансформер;Да;338780;220;31;8859;10928;25322;93;12661;1;FBO;3;12.8;19.2;27.7;5483;903;0.1;7.41;0;48.3;2024-02-27
Платье Mizomela;https://www.ozon.ru/product/1541937092;Mizomela;Одежда;Платье;Да;338774;472;177;1244;1914;0;100;12017;6;FBO;4;1.2;22.7;32.6;218614;18650;0.01;3.89;2.9;46.7;2024-04-11
Куртка WEALTHs;https://www.ozon.ru/product/1695076972;WEALTHs;Одежда;Куртка;Да;338764;Нет данных;56;5403;6049;0;100;12107;2;FBO;3;28.2;24.3;33.6;58655;2532;0.02;7.06;3.1;57.4;2024-09-16
Легинсы LAISE BEAUTY Одежда для женщин;https://www.ozon.ru/product/1346809854;LAISE BEAUTY;Одежда;Легинсы;Да;338710;74;263;1;1288;0;100;11585;9;FBO;5;0.7;23.8;34.5;21150;7515;0.05;11;5.4;68.9;2023-12-18
Пальто Amilardy;https://www.ozon.ru/product/1673134695;Amilardy;Одежда;Пальто;Да;338669;25;41;6856;8260;338669;50;24191;3;FBO;5;18.7;21.4;30.2;29341;2108;0.04;8.58;0;44.7;2024-08-28
Худи ТЕЛОДВИЖЕНИЯ;https://www.ozon.ru/product/259227024;ТЕЛОДВИЖЕНИЯ;Одежда;Худи;Да;338669;115;146;1746;2320;0;100;11486;5;FBO;4;9.8;25;35;20125;1631;0.13;19.43;0;56.6;2021-04-28
Куртка Shop Of Dom;https://www.ozon.ru/product/1627193564;Shop Of Dom;Одежда;Куртка;Да;338619;152;89;3189;3805;88656;79;14776;4;FBO;5;24;26.1;36.1;70410;5146;0.04;7.03;0;44.1;2024-07-12
Водолазка;https://www.ozon.ru/product/1655969373;без бренда;Одежда;Водолазка;Да;338618;15;410;82.5;826;0;100;11741;14;FBO;4;1.4;26.9;39.1;181662;9575;0.08;10.4;0.1;65.4;2024-08-12
Пальто fadjo;https://www.ozon.ru/product/1242988351;fadjo;Одежда;Пальто;Да;338616;595;125;2279;2709;54274;86;13569;5;FBO;5;15.8;25.7;35.7;299717;12382;0.01;3.14;0;33.8;2023-10-15
Платье Bananapolis;https://www.ozon.ru/product/1409724344;Bananapolis;Одежда;Платье;Да;338610;26;139;2069.2;2436;0;100;11924;5;FBO;4;1.6;22.2;31.7;80415;14544;0.02;3.38;6.5;44.4;2024-01-30
Джинсы AnMin Классическая;https://www.ozon.ru/product/957961666;AnMin;Одежда;Джинсы;Да;338599;2;177;1264.5;1913;25344;93;12672;7;FBO;3;2.8;23.2;33.2;23783;2088;0.01;18.19;1.7;55.8;2023-04-28
Ветровка Afhros;https://www.ozon.ru/product/1557992100;Afhros;Одежда;Ветровка;Да;338590;-11;129;1749.8;2625;0;100;11516;4;FBO;3;1.9;22;31.4;91231;7067;0.02;5.67;0.1;47.5;2024-04-25
Куртка oodji Basic;https://www.ozon.ru/product/1146417145;oodji;Одежда;Куртка;Да;338573;141;147;1;2303;0;100;11986;5;FBO;5;10.2;25.1;35.1;76546;5022;0.01;7.96;0;48.9;2023-08-21
Пальто I'M COMOKOD WOMAN Черный;https://www.ozon.ru/product/1076181496;I'M COMOKOD WOMAN;Одежда;Пальто;Да;338554;-22;74;3673;4575;219174;61;19925;4;FBO;6;13.4;23.1;32.2;17258;1446;0.05;12.93;0;44.4;2023-07-12
Комбинезон утепленный WALK;https://www.ozon.ru/product/1629694624;WALK;Одежда;Комбинезон утепленный;Да;338551;147;17;18822;19915;0;100;11355;1;FBO;0;44;18.3;26.8;3331;601;0.09;16.47;0;29.4;2024-07-16
Юбка ULook Осенняя коллекция;https://www.ozon.ru/product/1292087242;ULook;Одежда;Юбка;Да;338540;51;220;1079.3;1539;0;100;11704;8;FBO;4;5.9;25.6;36.4;85351;5840;0.01;8.52;0;41.5;2023-11-15
Куртка FianRo;https://www.ozon.ru/product/270037433;FianRo;Одежда;Куртка;Да;338538;-9;23;13214;14719;0;100;12094;1;FBO;5;24.5;18.8;27.3;40033;1167;0.01;4.45;10.8;56.5;2021-06-03
Джинсы TheMixLimited;https://www.ozon.ru/product/1686385009;TheMixLimited;Одежда;Джинсы;Да;338520;361;135;2142;2508;55047;86;13762;6;FBO;5;6.8;23.6;33.3;26125;3081;0.04;11.81;6.3;41.5;2024-09-08
Юбка BeRich;https://www.ozon.ru/product/1457008393;BeRich;Одежда;Юбка;Да;338518;-18;193;1277.3;1754;0;100;11603;7;FBO;3;1.8;23;33;36831;3204;0.04;19.38;0.8;48.2;2024-03-07
Брюки totuus r;https://www.ozon.ru/product/1171630989;totuus r;Одежда;Брюки;Да;338489;-18;218;1154.3;1553;24106;93;12053;8;FBO;4;4.3;25.2;35.8;35458;6209;0.02;7.39;9.6;61.3;2023-09-04
Костюм спортивный NILA;https://www.ozon.ru/product/1679927008;NILA;Одежда;Костюм спортивный;Да;338484;195;146;1680.8;2318;606485;36;33694;15;FBO;5;15.6;27;37.5;23873;5861;0.01;7.45;0;54.4;2024-09-03
Куртка Leokid;https://www.ozon.ru/product/1643821992;Leokid;Одежда;Куртка;Да;338473;531;48;5488.3;7052;0;100;11520;2;FBO;6;17.9;22;30.8;8642;2039;0.02;7.94;0;48.8;2024-07-31
Куртка adidas Tiro;https://www.ozon.ru/product/791567205;adidas;Одежда;Куртка;Да;338395;-4;161;1582.5;2102;0;100;12032;6;FBO,FBS;6;4.9;23.8;33.8;105244;5497;0.03;6.93;0.5;71;2022-11-15
Куртка Tommy Jeans;https://www.ozon.ru/product/1621349414;Tommy Jeans;Одежда;Куртка;Да;338390;638;26;12705;13015;0;100;12085;1;FBO;2;11.5;19.3;27.8;19231;959;0.02;6.88;0;Нет данных;Нет данных
Брюки Zarina и Ozon эксклюзивная коллекция;https://www.ozon.ru/product/1681272283;Zarina;Одежда;Брюки;Да;338381;Нет данных;111;835;3048;93002;79;15500;5;FBO;3;6.8;22.8;32.2;55722;7351;0.01;4.63;0;52.8;2024-09-04
Костюм спортивный;https://www.ozon.ru/product/1555998603;без бренда;Одежда;Костюм спортивный;Да;338371;44;79;3236.3;4283;0;100;11426;3;FBO;3;11;22.6;31.6;25225;1775;0;13.01;0;47.3;2024-04-23
Шуба искусственная Ostrich Новая коллекция;https://www.ozon.ru/product/1660448365;Ostrich;Одежда;Шуба искусственная;Да;338351;516;54;5239;6266;210017;61;19092;3;FBO;5;13.5;22.1;31;28549;3157;0.02;6.96;0;34.6;2024-08-16
Парка Befree;https://www.ozon.ru/product/1209376422;Befree;Одежда;Парка;Да;338349;4984;67;4191;5050;0;100;12192;2;FBO;4;12;22.2;31.1;96755;8017;0.01;2.84;0;38;2023-09-25
Комбинезон утепленный WALK Комбинезон;https://www.ozon.ru/product/1629704009;WALK;Одежда;Комбинезон утепленный;Да;338346;151;17;19362;19903;0;100;12084;1;FBO;4;44;18.3;26.9;18565;1909;0;4.81;2.7;50;2024-07-16
Брюки AVZ Fashion для мужчин;https://www.ozon.ru/product/806028344;AVZ Fashion;Одежда;Брюки;Да;338337;92;87;3642;3889;0;100;11543;3;FBO;4;1.6;21.2;30.1;6105;4111;0.09;4.79;7;32;2022-11-29
Пуховик MAUN Зима;https://www.ozon.ru/product/1697075146;MAUN;Одежда;Пуховик;Да;338325;Нет данных;24;13659;14097;56388;86;14097;1;FBO;6;41.9;19.9;28.6;5207;712;0.01;11.79;0;43.4;2024-09-18
Платье All about you;https://www.ozon.ru/product/1674661683;All about you;Одежда;Платье;Да;338315;54;60;5435;5639;68775;82;13755;2;FBO;6;2.8;20.9;29.6;27085;3693;0;6.9;1.4;36.2;2024-08-29
Куртка;https://www.ozon.ru/product/1195285376;без бренда;Одежда;Куртка;Да;338314;216;30;8265;11277;12158;96;12158;1;FBO,FBS;6;36;20.8;29.6;13090;1928;0.03;7.05;0;33.3;2023-09-17
Куртка velive;https://www.ozon.ru/product/1418673129;velive;Одежда;Куртка;Да;338313;105;74;4190;4572;0;100;11454;3;FBO;3;15.3;23.4;32.7;17090;1725;0.03;10.95;0.3;52.8;2024-02-08
Легинсы AYNURA Мода и Стиль;https://www.ozon.ru/product/1143827675;AYNURA;Одежда;Легинсы;Нет;338310;185;420;587.3;806;90353;79;15059;19;FBO;5;3.1;30.8;44.5;38195;4488;0.04;22.01;0;70.8;2023-08-19
Свитер BERUCHI;https://www.ozon.ru/product/1687722418;BERUCHI;Одежда;Свитер;Да;338302;388;142;152.8;2382;133721;71;16715;7;FBO;5;9.5;24.5;34.4;132509;8063;0.04;6.25;7.1;50.3;2024-09-09
Пальто MODiCO;https://www.ozon.ru/product/1684131085;MODiCO;Одежда;Пальто;Да;338301;879;38;8568;8903;56384;86;14096;2;FBO;4;18.7;21;29.7;61183;3906;0;3.43;5.5;43.2;2024-09-06
Костюм спортивный adidas;https://www.ozon.ru/product/1708797041;adidas;Одежда;Костюм спортивный;Да;338255;Нет данных;98;2649;3452;40741;89;13580;4;FBS;5;6.4;22.6;31.9;17236;2351;0.04;13.18;0;56.8;2024-09-28
Комбинезон утепленный;https://www.ozon.ru/product/1615164025;без бренда;Одежда;Комбинезон утепленный;Да;338218;490;60;4505.8;5637;110927;75;15847;3;FBO;6;35;25.6;35.2;12817;1792;0.1;10.6;0;51.7;2024-06-27
Пуховик LEONA stories Зима;https://www.ozon.ru/product/1689633180;LEONA stories;Одежда;Пуховик;Да;338215;Нет данных;24;2237;14092;253911;57;21159;2;FBO;5;54;20.6;29.5;4340;858;0.11;12.12;0;61.9;2024-09-11
Костюм спортивный;https://www.ozon.ru/product/1519162009;без бренда;Одежда;Костюм спортивный;Да;338208;63;37;7613;9141;128908;71;16114;2;FBO;5;16.3;20;28.6;38009;1960;0;4.38;6.1;69.6;2024-04-01
Парка Urban Knights;https://www.ozon.ru/product/1659088817;Urban Knights;Одежда;Парка;Да;338194;2467;23;13071;14704;92235;79;15372;1;FBO;4;34.8;19.1;27.7;4426;789;0.06;9.12;0.2;23.8;2024-08-15
Пуховик Marmalato;https://www.ozon.ru/product/1197155603;Marmalato;Одежда;Пуховик;Да;338181;7;21;14116;16104;0;100;11532;1;FBO,FBS;4;14;17.7;26.1;15783;1129;0.03;9.21;0;40;2023-09-19
Куртка Zarina ZRN MAN;https://www.ozon.ru/product/1187640250;Zarina;Одежда;Куртка;Да;338179;375;111;2509.7;3047;0;100;12104;4;FBO;2;26;27.1;37.2;102551;4157;0.01;6.35;0;49.5;2023-09-12
Комбинезон утепленный SPARKY premium;https://www.ozon.ru/product/367724191;SPARKY premium;Одежда;Комбинезон утепленный;Да;338133;676;44;6982.5;7685;56514;86;14128;2;FBO;4;35.9;23.6;32.7;8269;768;0.12;18.88;3.2;61.9;2021-10-29
Куртка;https://www.ozon.ru/product/1694512877;без бренда;Одежда;Куртка;Да;338100;581;112;1;3019;40630;89;13543;4;FBS;7;27;28.4;39;64895;16755;0.04;3.28;15.1;55.5;2024-09-15
Костюм классический Home Style;https://www.ozon.ru/product/1209217341;Home Style;Одежда;Костюм классический;Да;338088;5;185;1394;1828;0;100;11857;7;FBO;4;4.1;24.1;34.3;66544;7984;0.03;8.55;0;52.5;2023-09-25
